gbifID;identifier;license
1899798608;https://static.inaturalist.org/photos/23949066/original.jpg?1535522204;http://creativecommons.org/licenses/by-nc/4.0/
1899793711;https://static.inaturalist.org/photos/23912620/original.jpeg?1535468599;http://creativecommons.org/licenses/by-nc/4.0/
1899793657;https://static.inaturalist.org/photos/23912635/original.jpeg?1535468619;http://creativecommons.org/licenses/by-nc/4.0/
1899785817;https://static.inaturalist.org/photos/23855216/original.jpg?1535372232;http://creativecommons.org/licenses/by-nc/4.0/
1899785182;https://static.inaturalist.org/photos/23850852/original.jpeg?1535362765;http://creativecommons.org/licenses/by-nc/4.0/
1899785089;https://static.inaturalist.org/photos/23850954/original.jpeg?1535363036;http://creativecommons.org/licenses/by-nc/4.0/
1899785089;https://static.inaturalist.org/photos/23850956/original.jpeg?1535363039;http://creativecommons.org/licenses/by-nc/4.0/
1899775354;https://static.inaturalist.org/photos/23780977/original.jpeg?1535259828;http://creativecommons.org/licenses/by-nc/4.0/
1899752466;https://static.inaturalist.org/photos/20402768/original.jpg?1530096873;http://creativecommons.org/licenses/by-nc/4.0/
1898847024;https://static.inaturalist.org/photos/11614482/original.jpg?1509747222;http://creativecommons.org/licenses/by-nc/4.0/
1898842681;https://static.inaturalist.org/photos/23672043/original.jpeg?1535082383;http://creativecommons.org/licenses/by-nc/4.0/
1898830711;https://static.inaturalist.org/photos/23572880/original.jpeg?1534918316;http://creativecommons.org/licenses/by-nc/4.0/
1898830676;https://static.inaturalist.org/photos/23572229/original.jpeg?1534915703;http://creativecommons.org/licenses/by-nc/4.0/
1898830280;https://static.inaturalist.org/photos/23571918/original.jpg?1534914892;http://creativecommons.org/licenses/by-nc/4.0/
1898806429;https://static.inaturalist.org/photos/23397773/original.jpg?1534663658;http://creativecommons.org/licenses/by-nc/4.0/
1891358435;https://static.inaturalist.org/photos/907170/original.jpg?1402147219;http://creativecommons.org/licenses/by-nc-sa/4.0/
1891357640;https://static.inaturalist.org/photos/7761832/original.jpg?1494622858;http://creativecommons.org/licenses/by-nc/4.0/
1891354124;https://static.inaturalist.org/photos/23301133/original.png?1534531971;http://creativecommons.org/licenses/by-nc/4.0/
1891354057;https://static.inaturalist.org/photos/23301006/original.png?1534531776;http://creativecommons.org/licenses/by-nc/4.0/
1891354057;https://static.inaturalist.org/photos/23301011/original.png?1534531784;http://creativecommons.org/licenses/by-nc/4.0/
1891354057;https://static.inaturalist.org/photos/23301017/original.png?1534531791;http://creativecommons.org/licenses/by-nc/4.0/
1891354032;https://static.inaturalist.org/photos/23300887/original.png?1534531652;http://creativecommons.org/licenses/by-nc/4.0/
1891354032;https://static.inaturalist.org/photos/23300953/original.png?1534531714;http://creativecommons.org/licenses/by-nc/4.0/
1891354032;https://static.inaturalist.org/photos/23300958/original.png?1534531724;http://creativecommons.org/licenses/by-nc/4.0/
1891341109;https://static.inaturalist.org/photos/23185972/original.jpeg?1534358234;http://creativecommons.org/licenses/by-nc/4.0/
1891341061;https://static.inaturalist.org/photos/23185919/original.jpeg?1534358184;http://creativecommons.org/licenses/by-nc/4.0/
1891337022;https://static.inaturalist.org/photos/23154374/original.jpg?1534299869;http://creativecommons.org/licenses/by-nc/4.0/
1891337021;https://static.inaturalist.org/photos/23154438/original.jpg?1534299945;http://creativecommons.org/licenses/by-nc/4.0/
