gbifID;acceptedScientificName;scientificName;basisOfRecord;preparations;datasetName;rightsHolder;license
1850965668;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850965640;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850965617;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850965348;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850961890;Amphiprion polymnus (Linnaeus, 1758);Amphiprion polymnus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850958308;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850950905;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850947672;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1850938424;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850935787;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850932008;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850929644;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850928504;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850922659;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1850898450;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;carel van der Colff;http://creativecommons.org/licenses/by-nc/4.0/
1850898449;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;carel van der Colff;http://creativecommons.org/licenses/by-nc/4.0/
1850898405;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;carel van der Colff;http://creativecommons.org/licenses/by-nc/4.0/
1850897158;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;kevin;http://creativecommons.org/licenses/by-nc/4.0/
1850897070;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;kevin;http://creativecommons.org/licenses/by-nc/4.0/
1850896520;Amphiprion akallopisos Bleeker, 1853;Amphiprion akallopisos;HumanObservation;;iNaturalist research-grade observations;tony rebelo;http://creativecommons.org/licenses/by-nc/4.0/
1848807775;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1848807681;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1848807480;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1848805672;Amphiprion sandaracinos Allen, 1972;Amphiprion sandaracinos;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848800042;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848799942;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848798651;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848788098;Amphiprion polymnus (Linnaeus, 1758);Amphiprion polymnus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848786796;Amphiprion polymnus (Linnaeus, 1758);Amphiprion polymnus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848778365;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848778036;Amphiprion perideraion Bleeker, 1855;Amphiprion perideraion;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848770094;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1848768553;Amphiprion frenatus Brevoort, 1856;Amphiprion frenatus;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1848765091;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Mark Rosenstein;http://creativecommons.org/licenses/by/4.0/
1847638888;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;tamsynmann;http://creativecommons.org/licenses/by-nc/4.0/
1847635938;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;Mathew Zappa;http://creativecommons.org/licenses/by-nc/4.0/
1847631277;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Richard Ling;http://creativecommons.org/licenses/by-nc/4.0/
1847618739;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1847618718;Amphiprion clarkii (Bennett, 1830);Amphiprion clarkii;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1847618436;Amphiprion ocellaris Cuvier, 1830;Amphiprion ocellaris;HumanObservation;;iNaturalist research-grade observations;Tony Strazzari;http://creativecommons.org/licenses/by-nc/4.0/
1847612102;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;Robert Taylor;http://creativecommons.org/licenses/by-nc/4.0/
1847612039;Amphiprion allardi Klausewitz, 1970;Amphiprion allardi;HumanObservation;;iNaturalist research-grade observations;Robert Taylor;http://creativecommons.org/licenses/by-nc/4.0/
